patent_id,filing_date,title,year,abstract
10554088,2020-02-04,Rotor assembly for an electric machine having a coolant passage,2020,
10762364,2020-09-01,"Method, apparatus, and system for traffic sign learning",2020,
10641879,2020-05-05,Systems and methods for distortion free multi beam ultrasound receive beamforming,2020,
10823423,2020-11-03,Method of aesthetic enhancement,2020,
10638990,2020-05-05,Sunscreen compositions with improved water resistance of UVA sunscreen active agents,2020,
10758968,2020-09-01,Mold surface treatment method and mold treated with said method,2020,
10772967,2020-09-15,Enhanced anticancer agent,2020,
10579175,2020-03-03,Electronic device and method for controlling of the same,2020,
10791771,2020-10-06,Sock with elastic heel,2020,
10538676,2020-01-21,"Surface layer-peelable composite coating film, coating composition for forming composite coating film, and method",2020,
10603332,2020-03-31,Anti-obesity composition,2020,
10638488,2020-04-28,Method and apparatus for transmitting channel state information in wireless access system supporting machine type communication,2020,
10540299,2020-01-21,Resetting operating state holding element,2020,
D906376,2020-12-29,Tip for a ground engaging machine implement,2020,
10666156,2020-05-26,Method to dynamically configure and control a power converter for wide input range operation,2020,
10781957,2020-09-22,Fluid coupling element and fluid-coupling comprising such an element,2020,
10840857,2020-11-17,Self biased dual mode differential CMOS TIA for 400G fiber optic links,2020,
10789144,2020-09-29,"Supervisory circuit, supervisory system, motor control system",2020,
10831647,2020-11-10,Flaky test systems and methods,2020,
10748150,2020-08-18,Method and apparatus for processing transaction requests,2020,
10557090,2020-02-11,Process for producing transport fuel blendstock,2020,
10855586,2020-12-01,"Packet processing method and system, and device",2020,
10620417,2020-04-14,Method for generating a reflection-reduced contrast image and corresponding device,2020,
10645732,2020-05-05,"Method, device, and system for determining timing advance grouping",2020,
10758020,2020-09-01,Device for treating the hair comprising a laterally inserting refill,2020,
10670060,2020-06-02,Reinforced soft substrate with hardcoat,2020,
10821817,2020-11-03,Torque or power monitor,2020,
10879093,2020-12-29,System for a semiconductor fabrication facility and method for operating the same,2020,
10836067,2020-11-17,Lumber retrieval system for a centrally located saw,2020,
10794702,2020-10-06,On-chip gap measurement,2020,
10807803,2020-10-20,Hygienic low-friction magnetic tray and conveyor,2020,
10726165,2020-07-28,Technologies for secure enumeration of USB devices,2020,
10731557,2020-08-04,Cyclonic dirt separator for high efficiency brayton cycle based micro turbo alternator,2020,
10756704,2020-08-25,Saw filter having suppressed shear mode,2020,
10687085,2020-06-16,Inheritance in sample array multitree subdivision,2020,
10664363,2020-05-26,Availability of a storage system,2020,
10763379,2020-09-01,Integrated photodetector waveguide structure with alignment tolerance,2020,
10845168,2020-11-24,Shooting stalls and ranges including air permeable barrier,2020,
10739220,2020-08-11,Optical pressure sensor,2020,
10527887,2020-01-07,"LED display device, has flexible circuit board comprising main and extension portions, where main portion is arranged on first surface and extension portion is arranged on second surface, and light-emitting units arranged on main portion",2020,
10761545,2020-09-01,Low-pressure and low-energy self-regulating valve,2020,
D904641,2020-12-08,Adjustable ladder,2020,
10544234,2020-01-28,Functionalized copolymer rubber containing nitrile groups,2020,
10815895,2020-10-27,Gas turbine engine with differing effective perceived noise levels at differing reference points and methods for operating gas turbine engine,2020,
10826384,2020-11-03,"Soft-start circuit for converters, corresponding converter device and method",2020,
10541595,2020-01-21,Double stator permanent magnet linear motor and design method for increasing magnetic field modulation,2020,
10651893,2020-05-12,TDD repeater for a wireless network and method for operating said repeater,2020,
10587062,2020-03-10,Housing post for an electrical assembly,2020,
10715111,2020-07-14,Elastic wave filter device and duplexer,2020,
PP31960,2020-07-14,Strawberry plant named ‘BG-10.3181’,2020,
PP32037,2020-08-04,Phalaenopsis orchid plant named ‘PHALFEPXO’,2020,
10696479,2020-06-30,Bot position sensing,2020,
10539689,2020-01-21,Spectral X-ray detectors with dynamic electronic control and computational methods,2020,
10774826,2020-09-15,Inline monitoring package for an electric submersible pump system,2020,
10836142,2020-11-17,"Laminated glazing having an electrically conductive layer with an ablation line, the edges of which are free of beads and gently sloped",2020,
10668706,2020-06-02,Distributed sensing system employing a film adhesive,2020,
10802855,2020-10-13,Producing an internal representation of a type based on the type's source representation,2020,
10593367,2020-03-17,Systems and methods for efficient media editing,2020,
10871830,2020-12-22,Proximity detection for an input mechanism of an electronic device,2020,
